RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        18438     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     6.882D+01  3.576D+04
    1    3  4796 11068  ---    1  3.4D-02  3.2D+01  1.287D+02  2.271D+04
    2    4  4147 10190  bnd    0  1.0D+00  2.0D+01  2.835D+02  8.050D+03
    3    5   277  4277  bnd    0  1.0D+00  6.7D+00  6.757D+01  5.928D+03
    4    6     4  3900  bnd    0  1.0D+00  2.3D+00  5.292D+01  5.371D+03
    5    8   829  4544  bnd    1  5.0D-01  2.4D+00  2.280D+01  4.678D+03
    6   10  1367  4573  bnd    1  3.3D-01  1.1D+00  1.615D+01  4.411D+03
    7   12  1123  4095  bnd    1  3.3D-01  1.0D+00  1.467D+01  4.211D+03
    8   14  1057  3803  bnd    1  3.6D-01  1.4D+00  2.173D+01  3.991D+03
    9   15  1037  3562  bnd    0  1.0D+00  4.6D+00  3.462D+01  3.686D+03
   10   16     9  3309  bnd    0  1.0D+00  2.3D+00  3.289D+01  3.584D+03
   11   17     5  2856  bnd    0  1.0D+00  1.6D+00  2.150D+01  3.510D+03
   12   18    79  2949  bnd    0  1.0D+00  8.3D-01  1.758D+01  3.460D+03
   13   19   267  3142  bnd    0  1.0D+00  1.8D+00  1.113D+01  3.356D+03
   14   20     4  2744  bnd    0  1.0D+00  1.0D+00  1.469D+01  3.325D+03
   15   21     1  2719  bnd    0  1.0D+00  3.4D-01  1.425D+01  3.307D+03
   16   22    18  2753  bnd    0  1.0D+00  7.1D-01  1.219D+01  3.252D+03
   17   23    19  2763  bnd    0  1.0D+00  5.4D-01  1.604D+01  3.223D+03
   18   24    13  2794  bnd    0  1.0D+00  4.6D-01  1.572D+01  3.202D+03
   19   25    46  2820  bnd    0  1.0D+00  1.2D+00  1.472D+01  3.158D+03
   20   26     9  2760  bnd    0  1.0D+00  7.1D-01  1.470D+01  3.127D+03
   21   27    12  2740  bnd    0  1.0D+00  4.9D-01  1.370D+01  3.100D+03
   22   28    15  2711  bnd    0  1.0D+00  7.0D-01  1.227D+01  3.071D+03
   23   29    17  2647  bnd    0  1.0D+00  5.2D-01  1.137D+01  3.047D+03
   24   30    11  2618  bnd    0  1.0D+00  4.6D-01  1.110D+01  3.025D+03
   25   31    12  2586  bnd    0  1.0D+00  8.7D-01  1.160D+01  2.998D+03
   26   32     9  2493  bnd    0  1.0D+00  7.5D-01  1.180D+01  2.980D+03
   27   33    12  2444  bnd    0  1.0D+00  4.9D-01  1.102D+01  2.961D+03
   28   34    14  2435  bnd    0  1.0D+00  1.1D+00  1.040D+01  2.927D+03
   29   35    12  2405  bnd    0  1.0D+00  5.2D-01  1.299D+01  2.903D+03
   30   36    19  2415  bnd    0  1.0D+00  1.9D-01  1.251D+01  2.883D+03
   31   37    26  2437  bnd    0  1.0D+00  3.9D-01  1.757D+01  2.861D+03
   32   38    10  2440  bnd    0  1.0D+00  7.8D-01  2.148D+01  2.834D+03
   33   39    14  2465  bnd    0  1.0D+00  1.1D+00  2.193D+01  2.811D+03
   34   40    21  2498  bnd    0  1.0D+00  9.7D-01  2.046D+01  2.789D+03
   35   41    21  2524  bnd    0  1.0D+00  1.0D+00  1.457D+01  2.764D+03
   36   42     7  2538  bnd    0  1.0D+00  9.4D-01  8.707D+00  2.739D+03
   37   43     8  2534  bnd    0  1.0D+00  3.5D-01  8.770D+00  2.718D+03
   38   44     7  2522  bnd    0  1.0D+00  3.1D-01  8.705D+00  2.699D+03
   39   45    20  2513  bnd    0  1.0D+00  5.1D-01  1.250D+01  2.679D+03
   40   46     5  2490  bnd    0  1.0D+00  8.7D-01  1.845D+01  2.658D+03
   41   47     7  2463  bnd    0  1.0D+00  5.9D-01  2.059D+01  2.645D+03
   42   48     1  2439  bnd    0  1.0D+00  6.0D-01  2.164D+01  2.630D+03
   43   49     8  2404  bnd    0  1.0D+00  9.2D-01  2.146D+01  2.610D+03
   44   50     7  2349  bnd    0  1.0D+00  3.8D-01  1.931D+01  2.592D+03
   45   51     6  2326  bnd    0  1.0D+00  3.0D-01  1.692D+01  2.577D+03
   46   52    13  2336  bnd    0  1.0D+00  4.8D-01  1.270D+01  2.558D+03
   47   53    21  2344  bnd    0  1.0D+00  5.2D-01  8.446D+00  2.540D+03
   48   54    14  2355  bnd    0  1.0D+00  7.0D-01  8.049D+00  2.521D+03
   49   55     6  2363  bnd    0  1.0D+00  7.2D-01  8.649D+00  2.504D+03
   50   56     6  2376  bnd    0  1.0D+00  2.1D-01  8.653D+00  2.494D+03
   51   57    11  2389  bnd    0  1.0D+00  3.6D-01  1.594D+01  2.480D+03
   52   58    10  2403  bnd    0  1.0D+00  4.0D-01  2.021D+01  2.467D+03
   53   59     5  2422  bnd    0  1.0D+00  4.7D-01  2.153D+01  2.453D+03
   54   60     8  2448  bnd    0  1.0D+00  6.5D-01  1.949D+01  2.437D+03
   55   61     4  2460  bnd    0  1.0D+00  9.2D-01  1.411D+01  2.421D+03
   56   62     3  2455  bnd    0  1.0D+00  4.9D-01  1.042D+01  2.411D+03
   57   63     7  2462  bnd    0  1.0D+00  4.1D-01  6.553D+00  2.400D+03
   58   64     7  2468  bnd    0  1.0D+00  4.5D-01  6.413D+00  2.391D+03
   59   65     5  2467  bnd    0  1.0D+00  2.7D-01  6.140D+00  2.382D+03
   60   66     5  2479  bnd    0  1.0D+00  2.8D-01  5.833D+00  2.374D+03
   61   67     5  2486  bnd    0  1.0D+00  3.5D-01  8.618D+00  2.365D+03
   62   68     3  2478  bnd    0  1.0D+00  3.5D-01  8.620D+00  2.356D+03
   63   69     2  2464  bnd    0  1.0D+00  4.7D-01  1.098D+01  2.347D+03
   64   70     4  2436  bnd    0  1.0D+00  5.5D-01  1.280D+01  2.338D+03
   65   71     6  2421  bnd    0  1.0D+00  3.7D-01  1.340D+01  2.329D+03
   66   72     9  2432  bnd    0  1.0D+00  3.0D-01  1.255D+01  2.321D+03
   67   73     4  2429  bnd    0  1.0D+00  4.9D-01  9.604D+00  2.309D+03
   68   74     4  2427  bnd    0  1.0D+00  4.4D-01  7.286D+00  2.300D+03
   69   75     5  2422  bnd    0  1.0D+00  4.4D-01  5.770D+00  2.290D+03
   70   76     3  2415  bnd    0  1.0D+00  7.5D-01  6.302D+00  2.275D+03
   71   77     1  2418  bnd    0  1.0D+00  8.5D-01  8.273D+00  2.261D+03
   72   78     2  2409  bnd    0  1.0D+00  7.9D-01  9.772D+00  2.249D+03
   73   79     3  2399  bnd    0  1.0D+00  5.2D-01  1.012D+01  2.240D+03
   74   80     3  2399  bnd    0  1.0D+00  8.3D-01  9.366D+00  2.226D+03
   75   81     7  2403  bnd    0  1.0D+00  9.4D-01  8.261D+00  2.211D+03
   76   82     7  2418  bnd    0  1.0D+00  4.6D-01  8.569D+00  2.200D+03
   77   83     9  2416  bnd    0  1.0D+00  4.1D-01  8.567D+00  2.190D+03
   78   84    12  2433  bnd    0  1.0D+00  8.2D-01  8.555D+00  2.178D+03
   79   85     4  2434  bnd    0  1.0D+00  6.5D-01  7.661D+00  2.168D+03
   80   86     2  2427  bnd    0  1.0D+00  5.8D-01  8.429D+00  2.163D+03
   81   87    14  2432  bnd    0  1.0D+00  9.6D-01  9.082D+00  2.152D+03
   82   88     9  2426  bnd    0  1.0D+00  5.6D-01  8.497D+00  2.144D+03
   83   89     3  2436  bnd    0  1.0D+00  2.7D-01  6.997D+00  2.136D+03
   84   90     1  2440  bnd    0  1.0D+00  2.8D-01  4.987D+00  2.130D+03
   85   91     1  2446  bnd    0  1.0D+00  1.6D-01  4.841D+00  2.125D+03
   86   92     2  2450  bnd    0  1.0D+00  1.9D-01  4.777D+00  2.121D+03
   87   93     3  2454  bnd    0  1.0D+00  4.0D-01  4.574D+00  2.116D+03
   88   94     7  2467  bnd    0  1.0D+00  5.2D-01  4.206D+00  2.110D+03
   89   95     3  2472  bnd    0  1.0D+00  4.7D-01  5.259D+00  2.106D+03
   90   96     3  2485  bnd    0  1.0D+00  3.8D-01  7.739D+00  2.100D+03
   91   97     1  2476  bnd    0  1.0D+00  2.1D-01  9.604D+00  2.095D+03
   92   98     2  2461  bnd    0  1.0D+00  2.4D-01  1.096D+01  2.090D+03
   93   99     2  2460  bnd    0  1.0D+00  2.7D-01  1.178D+01  2.084D+03
   94  100     2  2455  bnd    0  1.0D+00  5.7D-01  1.292D+01  2.077D+03
   95  101     2  2453  bnd    0  1.0D+00  2.7D-01  1.256D+01  2.071D+03
   96  102     2  2459  bnd    0  1.0D+00  2.3D-01  1.078D+01  2.066D+03
   97  103     2  2458  bnd    0  1.0D+00  3.3D-01  7.533D+00  2.058D+03
   98  104     7  2447  bnd    0  1.0D+00  4.7D-01  5.611D+00  2.052D+03
   99  105     1  2430  bnd    0  1.0D+00  4.3D-01  5.460D+00  2.048D+03
  100  106     5  2427  bnd    0  1.0D+00  6.9D-01  5.607D+00  2.042D+03
  101  107     4  2421  bnd    0  1.0D+00  6.6D-01  5.551D+00  2.035D+03
  102  108     1  2414  bnd    0  1.0D+00  6.4D-01  5.689D+00  2.027D+03
  103  109     4  2423  bnd    0  1.0D+00  2.0D-01  6.884D+00  2.021D+03
  104  110     3  2425  bnd    0  1.0D+00  2.3D-01  9.259D+00  2.016D+03
  105  111     5  2422  bnd    0  1.0D+00  2.7D-01  1.112D+01  2.009D+03
  106  112     2  2420  bnd    0  1.0D+00  3.2D-01  1.175D+01  2.004D+03
  107  113     2  2418  bnd    0  1.0D+00  4.9D-01  1.046D+01  1.998D+03
  108  114     7  2421  bnd    0  1.0D+00  8.5D-01  7.196D+00  1.991D+03
  109  115     6  2428  bnd    0  1.0D+00  4.4D-01  4.973D+00  1.985D+03
  110  116     8  2431  bnd    0  1.0D+00  5.2D-01  4.973D+00  1.980D+03
  111  117     7  2426  bnd    0  1.0D+00  8.0D-01  4.971D+00  1.974D+03
  112  118    12  2430  bnd    0  1.0D+00  7.0D-01  4.970D+00  1.967D+03
  113  119     2  2425  bnd    0  1.0D+00  9.1D-01  5.168D+00  1.960D+03
  114  120     2  2409  bnd    0  1.0D+00  6.6D-01  5.556D+00  1.952D+03
  115  121     3  2401  bnd    0  1.0D+00  4.3D-01  5.476D+00  1.946D+03
  116  122     2  2376  bnd    0  1.0D+00  7.3D-01  5.196D+00  1.940D+03
  117  123     6  2356  bnd    0  1.0D+00  5.1D-01  4.953D+00  1.935D+03
  118  124     5  2361  bnd    0  1.0D+00  5.7D-01  5.139D+00  1.928D+03
  119  125     3  2363  bnd    0  1.0D+00  8.9D-01  4.231D+00  1.922D+03
  120  126     6  2356  bnd    0  1.0D+00  2.7D-01  4.257D+00  1.917D+03
  121  127     5  2355  bnd    0  1.0D+00  3.2D-01  4.301D+00  1.913D+03
  122  128     9  2352  bnd    0  1.0D+00  8.1D-01  4.672D+00  1.904D+03
  123  129     6  2346  bnd    0  1.0D+00  3.6D-01  4.873D+00  1.898D+03
  124  130     2  2338  bnd    0  1.0D+00  4.1D-01  5.010D+00  1.894D+03
  125  131     2  2340  bnd    0  1.0D+00  9.6D-01  5.079D+00  1.884D+03
  126  132     3  2336  bnd    0  1.0D+00  6.1D-01  5.063D+00  1.877D+03
  127  133     3  2340  bnd    0  1.0D+00  2.1D-01  5.468D+00  1.871D+03
  128  134     4  2347  bnd    0  1.0D+00  1.5D-01  5.284D+00  1.866D+03
  129  135     5  2348  bnd    0  1.0D+00  2.4D-01  4.969D+00  1.860D+03
  130  136     3  2337  bnd    0  1.0D+00  3.1D-01  5.270D+00  1.856D+03
  131  137     6  2339  bnd    0  1.0D+00  4.8D-01  5.938D+00  1.852D+03
  132  138     7  2338  bnd    0  1.0D+00  7.7D-01  6.791D+00  1.847D+03
  133  139     1  2327  bnd    0  1.0D+00  1.3D-01  6.498D+00  1.843D+03
  134  140     2  2325  bnd    0  1.0D+00  9.7D-02  5.914D+00  1.840D+03
  135  141     2  2332  bnd    0  1.0D+00  2.0D-01  4.735D+00  1.836D+03
  136  142     4  2328  bnd    0  1.0D+00  1.6D-01  3.860D+00  1.832D+03
  137  143     1  2328  bnd    0  1.0D+00  1.9D-01  3.809D+00  1.829D+03
  138  144     4  2333  bnd    0  1.0D+00  2.7D-01  3.775D+00  1.825D+03
  139  145     3  2338  bnd    0  1.0D+00  4.3D-01  3.784D+00  1.823D+03
  140  146     1  2336  bnd    0  1.0D+00  4.2D-02  3.791D+00  1.820D+03
  141  147     1  2338  bnd    0  1.0D+00  1.3D-01  4.115D+00  1.818D+03
  142  148     3  2338  bnd    0  1.0D+00  2.8D-01  4.475D+00  1.814D+03
  143  149     3  2341  bnd    0  1.0D+00  2.8D-01  4.564D+00  1.811D+03
  144  150     2  2334  bnd    0  1.0D+00  9.8D-02  4.406D+00  1.809D+03
  145  151     4  2334  bnd    0  1.0D+00  3.4D-01  4.248D+00  1.805D+03
  146  152     2  2339  bnd    0  1.0D+00  3.9D-01  4.307D+00  1.802D+03
  147  153     2  2333  bnd    0  1.0D+00  1.7D-01  4.000D+00  1.800D+03
  148  154     2  2339  bnd    0  1.0D+00  3.2D-01  4.305D+00  1.796D+03
  149  155     3  2336  bnd    0  1.0D+00  1.4D-01  3.922D+00  1.793D+03
  150  156     2  2338  bnd    0  1.0D+00  2.4D-01  4.275D+00  1.791D+03
  151  157     2  2336  bnd    0  1.0D+00  3.8D-01  4.646D+00  1.788D+03
  152  158     2  2329  bnd    0  1.0D+00  2.8D-01  4.653D+00  1.786D+03
  153  159     1  2327  bnd    0  1.0D+00  2.3D-01  4.285D+00  1.783D+03
  154  160     4  2320  bnd    0  1.0D+00  1.8D-01  4.193D+00  1.780D+03
  155  161     3  2319  bnd    0  1.0D+00  3.3D-01  5.116D+00  1.776D+03
  156  162     2  2318  bnd    0  1.0D+00  2.2D-01  4.882D+00  1.773D+03
  157  163     2  2313  bnd    0  1.0D+00  3.0D-01  4.875D+00  1.770D+03
  158  164     6  2321  bnd    0  1.0D+00  4.4D-01  4.682D+00  1.767D+03
  159  165     5  2326  bnd    0  1.0D+00  4.4D-01  4.391D+00  1.763D+03
  160  166     3  2332  bnd    0  1.0D+00  4.9D-01  4.212D+00  1.759D+03
  161  167     1  2331  bnd    0  1.0D+00  3.0D-01  4.300D+00  1.756D+03
  162  168     4  2330  bnd    0  1.0D+00  1.2D-01  4.276D+00  1.752D+03
  163  169     1  2330  bnd    0  1.0D+00  2.8D-01  4.677D+00  1.749D+03
  164  170     3  2335  bnd    0  1.0D+00  3.4D-01  5.479D+00  1.745D+03
  165  171     1  2332  bnd    0  1.0D+00  2.6D-01  5.650D+00  1.742D+03
  166  172     2  2333  bnd    0  1.0D+00  2.6D-01  5.790D+00  1.740D+03
  167  173     1  2333  bnd    0  1.0D+00  3.3D-01  5.866D+00  1.737D+03
  168  174     3  2332  bnd    0  1.0D+00  2.0D-01  5.671D+00  1.735D+03
  169  175     5  2339  bnd    0  1.0D+00  3.5D-01  5.209D+00  1.730D+03
  170  176     3  2339  bnd    0  1.0D+00  3.6D-01  5.369D+00  1.727D+03
  171  177     1  2343  bnd    0  1.0D+00  2.7D-01  5.084D+00  1.725D+03
  172  178     2  2342  bnd    0  1.0D+00  2.6D-01  4.307D+00  1.722D+03
  173  179     6  2348  bnd    0  1.0D+00  4.1D-01  3.155D+00  1.718D+03
  174  180     1  2343  bnd    0  1.0D+00  3.7D-01  3.240D+00  1.716D+03
  175  181     2  2337  bnd    0  1.0D+00  4.1D-01  3.818D+00  1.713D+03
  176  182     3  2339  bnd    0  1.0D+00  4.0D-01  4.141D+00  1.710D+03
  177  183     3  2341  bnd    0  1.0D+00  4.5D-01  4.423D+00  1.707D+03
  178  184     2  2341  bnd    0  1.0D+00  1.2D-01  4.355D+00  1.705D+03
  179  185     2  2340  bnd    0  1.0D+00  3.7D-01  4.122D+00  1.702D+03
  180  186     1  2335  bnd    0  1.0D+00  3.6D-01  5.121D+00  1.699D+03
  181  187     1  2333  bnd    0  1.0D+00  1.7D-01  5.485D+00  1.698D+03
  182  188     2  2332  bnd    0  1.0D+00  2.5D-01  5.781D+00  1.696D+03
  183  189     2  2330  bnd    0  1.0D+00  3.8D-01  5.931D+00  1.693D+03
  184  190     2  2327  bnd    0  1.0D+00  3.5D-01  5.564D+00  1.690D+03
  185  191     4  2332  bnd    0  1.0D+00  4.4D-01  4.654D+00  1.687D+03
  186  192     3  2333  bnd    0  1.0D+00  4.9D-01  4.531D+00  1.684D+03
  187  193     4  2334  bnd    0  1.0D+00  2.2D-01  4.530D+00  1.681D+03
  188  194     1  2330  bnd    0  1.0D+00  4.6D-01  4.331D+00  1.678D+03
